Breed,Age (Years),Weight (kg),Color,Gender,breed_key,rank_recent,rank_mean,rank_missing_share,Gender_bin,size_class,age_bin
Cocker Spaniel,1,41,Black and Tan,Female,cocker spaniel,30.0,29.375,0.0,1,large,puppy
Beagle,10,41,Cream,Female,beagle,7.0,5.625,0.0,1,large,senior
Pekingese,13,22,Brown,Female,pekingese,95.0,86.375,0.0,1,medium,senior
French Bulldog,2,38,Brown,Male,bulldog french,2.0,5.75,0.0,0,large,adult
Schnauzer,5,45,Tan,Female,schnauzer,,,,1,giant,adult
Pekingese,1,50,Cream,Female,pekingese,95.0,86.375,0.0,1,giant,puppy
Pug,1,45,Brown,Female,pug,29.0,31.0,0.0,1,giant,puppy
French Bulldog,10,24,Black and Tan,Male,bulldog french,2.0,5.75,0.0,0,medium,senior
Border Collie,1,36,Brown,Female,border collie,,,,1,large,puppy
Beagle,4,55,Red,Female,beagle,7.0,5.625,0.0,1,giant,adult
Belgian Malinois,9,27,Blue,Male,belgian malinoi,37.0,47.875,0.0,0,large,senior
Vizsla,7,8,Spotted,Male,vizsla,35.0,32.625,0.0,0,small,adult
Pembroke Welsh Corgi,3,49,Cream,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,adult
Doberman Pinscher,1,5,Black,Male,doberman pinscher,18.0,15.625,0.0,0,small,puppy
Alaskan Malamute,10,37,Blue,Female,alaskan malamute,65.0,58.875,0.0,1,large,senior
French Bulldog,7,10,Bicolor,Male,bulldog french,2.0,5.75,0.0,0,small,adult
Boston Terrier,6,45,Black,Male,boston terrier,21.0,21.625,0.0,0,giant,adult
Bichon Frise,13,12,Sable,Male,bichon frise,45.0,44.125,0.0,0,medium,senior
Great Dane,7,10,Black and White,Female,dane great,15.0,15.25,0.0,1,small,adult
Chihuahua,12,20,Blue,Female,chihuahua,34.0,29.75,0.0,1,medium,senior
Chihuahua,10,50,Black,Male,chihuahua,34.0,29.75,0.0,0,giant,senior
Pug,2,29,Merle,Female,pug,29.0,31.0,0.0,1,large,adult
Saint Bernard,5,47,Sable,Male,bernard saint,,,,0,giant,adult
Dogo Argentino,5,16,Merle,Female,argentino dogo,93.0,93.0,0.875,1,medium,adult
Bloodhound,3,5,Gray,Female,bloodhound,46.0,49.375,0.0,1,small,adult
Alaskan Malamute,10,38,Red,Female,alaskan malamute,65.0,58.875,0.0,1,large,senior
Bichon Frise,12,39,Red,Female,bichon frise,45.0,44.125,0.0,1,large,senior
Bloodhound,11,37,Red,Female,bloodhound,46.0,49.375,0.0,1,large,senior
Havanese,3,51,Black,Male,havanese,24.0,23.75,0.0,0,giant,adult
Boston Terrier,12,7,Black and Tan,Male,boston terrier,21.0,21.625,0.0,0,small,senior
Havanese,13,36,Black and Tan,Male,havanese,24.0,23.75,0.0,0,large,senior
Akita,5,21,Black and White,Female,akita,48.0,46.5,0.0,1,medium,adult
Shiba Inu,10,11,Tan,Female,inu shiba,43.0,44.875,0.0,1,medium,senior
German Shepherd,11,15,Black and White,Male,german shepherd,3.0,2.125,0.0,0,medium,senior
Pomeranian,4,27,Sable,Male,pomeranian,23.0,21.75,0.0,0,large,adult
Shetland Sheepdog,4,59,Bicolor,Male,sheepdog shetland,27.0,23.75,0.0,0,giant,adult
Bulldog,7,19,Brown,Female,bulldog,5.0,4.625,0.0,1,medium,adult
Samoyed,12,40,Sable,Male,samoyed,56.0,61.5,0.0,0,large,senior
Basenji,11,57,Spotted,Female,basenji,86.0,86.375,0.0,1,giant,senior
Bull Terrier,1,8,Gray,Female,bull terrier,64.0,58.125,0.0,1,small,puppy
Maltese,9,47,Black and Tan,Male,maltese,38.0,33.0,0.0,0,giant,senior
Pomeranian,10,53,Brindle,Male,pomeranian,23.0,21.75,0.0,0,giant,senior
Doberman Pinscher,6,56,Black and White,Male,doberman pinscher,18.0,15.625,0.0,0,giant,adult
Papillon,11,43,Brindle,Female,papillon,53.0,49.375,0.0,1,large,senior
Border Collie,6,47,Brown,Female,border collie,,,,1,giant,adult
Yorkshire Terrier,3,27,Tricolor,Female,terrier yorkshire,13.0,9.0,0.0,1,large,adult
Poodle,1,50,Gray,Male,poodle,6.0,7.0,0.0,0,giant,puppy
Chesapeake Bay Retriever,5,50,Blue,Male,bay chesapeake retriever,50.0,44.125,0.0,0,giant,adult
Pomeranian,1,59,Black,Female,pomeranian,23.0,21.75,0.0,1,giant,puppy
Miniature Schnauzer,6,42,Black,Male,miniature schnauzer,19.0,17.5,0.0,0,large,adult
Dachshund,3,21,White,Female,dachshund,10.0,11.625,0.0,1,medium,adult
Pekingese,14,38,Sable,Male,pekingese,95.0,86.375,0.0,0,large,senior
Pembroke Welsh Corgi,4,25,Bicolor,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,adult
Cavalier King Charles Spaniel,3,44,Spotted,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,large,adult
Rottweiler,10,39,Gray,Male,rottweiler,8.0,8.5,0.0,0,large,senior
Cavalier King Charles Spaniel,9,47,Merle,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,giant,senior
West Highland White Terrier,10,59,Spotted,Female,highland terrier west white,44.0,41.0,0.0,1,giant,senior
Shetland Sheepdog,1,37,Black and Tan,Female,sheepdog shetland,27.0,23.75,0.0,1,large,puppy
Rottweiler,7,38,Black and Tan,Male,rottweiler,8.0,8.5,0.0,0,large,adult
Bernese Mountain Dog,1,54,White,Female,bernese mountain,22.0,26.5,0.0,1,giant,puppy
Airedale Terrier,10,53,Black and White,Female,airedale terrier,62.0,57.375,0.0,1,giant,senior
Cocker Spaniel,2,54,Spotted,Male,cocker spaniel,30.0,29.375,0.0,0,giant,adult
Bernese Mountain Dog,4,36,Tan,Male,bernese mountain,22.0,26.5,0.0,0,large,adult
Samoyed,6,26,Blue,Female,samoyed,56.0,61.5,0.0,1,large,adult
West Highland White Terrier,2,5,Blue,Male,highland terrier west white,44.0,41.0,0.0,0,small,adult
French Bulldog,13,27,Sable,Male,bulldog french,2.0,5.75,0.0,0,large,senior
Papillon,3,22,Tricolor,Female,papillon,53.0,49.375,0.0,1,medium,adult
Boston Terrier,14,5,Tan,Female,boston terrier,21.0,21.625,0.0,1,small,senior
Rottweiler,12,42,Brindle,Female,rottweiler,8.0,8.5,0.0,1,large,senior
Cocker Spaniel,1,50,Blue,Male,cocker spaniel,30.0,29.375,0.0,0,giant,puppy
Vizsla,6,59,Bicolor,Male,vizsla,35.0,32.625,0.0,0,giant,adult
Chesapeake Bay Retriever,7,52,Brown,Female,bay chesapeake retriever,50.0,44.125,0.0,1,giant,adult
Airedale Terrier,13,13,Bicolor,Female,airedale terrier,62.0,57.375,0.0,1,medium,senior
Bernese Mountain Dog,10,59,Bicolor,Male,bernese mountain,22.0,26.5,0.0,0,giant,senior
Rottweiler,2,53,Tan,Female,rottweiler,8.0,8.5,0.0,1,giant,adult
Vizsla,13,46,Black and White,Male,vizsla,35.0,32.625,0.0,0,giant,senior
Boston Terrier,3,38,Blue,Female,boston terrier,21.0,21.625,0.0,1,large,adult
Akita,7,26,Black and Tan,Male,akita,48.0,46.5,0.0,0,large,adult
Pug,7,42,Spotted,Male,pug,29.0,31.0,0.0,0,large,adult
Samoyed,13,37,Tricolor,Female,samoyed,56.0,61.5,0.0,1,large,senior
Basenji,8,21,Black and Tan,Male,basenji,86.0,86.375,0.0,0,medium,senior
Bull Terrier,1,22,Black,Male,bull terrier,64.0,58.125,0.0,0,medium,puppy
Chesapeake Bay Retriever,6,31,Brindle,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,adult
Chesapeake Bay Retriever,5,10,Blue,Female,bay chesapeake retriever,50.0,44.125,0.0,1,small,adult
German Shepherd,8,48,Black,Female,german shepherd,3.0,2.125,0.0,1,giant,senior
Boxer,14,27,Sable,Female,boxer,14.0,10.625,0.0,1,large,senior
Havanese,12,9,Black,Female,havanese,24.0,23.75,0.0,1,small,senior
Bulldog,5,14,Black,Female,bulldog,5.0,4.625,0.0,1,medium,adult
Maltese,7,26,Brindle,Female,maltese,38.0,33.0,0.0,1,large,adult
Beagle,7,48,Brindle,Female,beagle,7.0,5.625,0.0,1,giant,adult
Chesapeake Bay Retriever,13,26,Spotted,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,senior
Whippet,9,30,Black and Tan,Male,whippet,59.0,58.875,0.0,0,large,senior
Maltese,7,20,Sable,Female,maltese,38.0,33.0,0.0,1,medium,adult
Papillon,1,38,Bicolor,Male,papillon,53.0,49.375,0.0,0,large,puppy
Dachshund,3,55,Merle,Female,dachshund,10.0,11.625,0.0,1,giant,adult
Pekingese,1,29,Red,Male,pekingese,95.0,86.375,0.0,0,large,puppy
Jack Russell Terrier,1,10,Tricolor,Male,jack russell terrier,,,,0,small,puppy
Great Dane,9,11,Red,Female,dane great,15.0,15.25,0.0,1,medium,senior
Maltese,13,18,Blue,Male,maltese,38.0,33.0,0.0,0,medium,senior
French Bulldog,5,32,Black,Male,bulldog french,2.0,5.75,0.0,0,large,adult
Miniature Schnauzer,1,17,Red,Female,miniature schnauzer,19.0,17.5,0.0,1,medium,puppy
Shetland Sheepdog,2,7,Black and White,Male,sheepdog shetland,27.0,23.75,0.0,0,small,adult
Beagle,1,25,Brown,Male,beagle,7.0,5.625,0.0,0,large,puppy
Boston Terrier,9,59,Gray,Female,boston terrier,21.0,21.625,0.0,1,giant,senior
Shetland Sheepdog,6,5,White,Male,sheepdog shetland,27.0,23.75,0.0,0,small,adult
Bichon Frise,3,24,Spotted,Female,bichon frise,45.0,44.125,0.0,1,medium,adult
Border Collie,9,40,Cream,Female,border collie,,,,1,large,senior
Bernese Mountain Dog,1,27,Red,Female,bernese mountain,22.0,26.5,0.0,1,large,puppy
Labrador Retriever,6,24,Merle,Male,labrador retriever,1.0,1.0,0.0,0,medium,adult
Irish Setter,11,6,Spotted,Female,irish setter,75.0,74.625,0.0,1,small,senior
French Bulldog,1,35,Black and White,Female,bulldog french,2.0,5.75,0.0,1,large,puppy
Dogo Argentino,9,50,Black and White,Male,argentino dogo,93.0,93.0,0.875,0,giant,senior
Vizsla,12,40,Brown,Female,vizsla,35.0,32.625,0.0,1,large,senior
Rottweiler,6,17,Tricolor,Female,rottweiler,8.0,8.5,0.0,1,medium,adult
Pug,7,56,Cream,Female,pug,29.0,31.0,0.0,1,giant,adult
Pembroke Welsh Corgi,11,56,Tan,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,senior
Pembroke Welsh Corgi,11,30,Spotted,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,senior
Airedale Terrier,12,54,Tricolor,Male,airedale terrier,62.0,57.375,0.0,0,giant,senior
Golden Retriever,11,22,Bicolor,Female,golden retriever,4.0,3.125,0.0,1,medium,senior
Poodle,14,21,Tan,Male,poodle,6.0,7.0,0.0,0,medium,senior
Doberman Pinscher,10,20,Merle,Female,doberman pinscher,18.0,15.625,0.0,1,medium,senior
Chihuahua,5,59,Black and Tan,Male,chihuahua,34.0,29.75,0.0,0,giant,adult
Poodle,5,30,Cream,Female,poodle,6.0,7.0,0.0,1,large,adult
Chihuahua,14,20,Tricolor,Female,chihuahua,34.0,29.75,0.0,1,medium,senior
Doberman Pinscher,3,45,Sable,Male,doberman pinscher,18.0,15.625,0.0,0,giant,adult
Belgian Malinois,5,32,Tricolor,Male,belgian malinoi,37.0,47.875,0.0,0,large,adult
Irish Setter,1,15,Merle,Male,irish setter,75.0,74.625,0.0,0,medium,puppy
Airedale Terrier,9,13,Merle,Female,airedale terrier,62.0,57.375,0.0,1,medium,senior
Cavalier King Charles Spaniel,2,54,White,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,giant,adult
Akita,8,29,Spotted,Female,akita,48.0,46.5,0.0,1,large,senior
French Bulldog,12,25,Brindle,Female,bulldog french,2.0,5.75,0.0,1,large,senior
Labrador Retriever,14,49,Gray,Female,labrador retriever,1.0,1.0,0.0,1,giant,senior
Pekingese,5,20,Tan,Female,pekingese,95.0,86.375,0.0,1,medium,adult
Airedale Terrier,2,35,Merle,Female,airedale terrier,62.0,57.375,0.0,1,large,adult
Airedale Terrier,13,56,Gray,Male,airedale terrier,62.0,57.375,0.0,0,giant,senior
Airedale Terrier,1,30,Black and Tan,Male,airedale terrier,62.0,57.375,0.0,0,large,puppy
Chinese Shar-Pei,10,41,White,Male,chinese pei shar,61.0,60.875,0.0,0,large,senior
Labrador Retriever,6,14,Merle,Male,labrador retriever,1.0,1.0,0.0,0,medium,adult
Doberman Pinscher,2,51,Black,Female,doberman pinscher,18.0,15.625,0.0,1,giant,adult
Pekingese,12,36,White,Male,pekingese,95.0,86.375,0.0,0,large,senior
Bichon Frise,9,40,Black,Male,bichon frise,45.0,44.125,0.0,0,large,senior
Akita,2,14,Black,Male,akita,48.0,46.5,0.0,0,medium,adult
Whippet,7,14,Black and White,Male,whippet,59.0,58.875,0.0,0,medium,adult
Chinese Shar-Pei,1,21,Brindle,Female,chinese pei shar,61.0,60.875,0.0,1,medium,puppy
Weimaraner,1,44,Merle,Male,weimaraner,39.0,35.5,0.0,0,large,puppy
Shetland Sheepdog,3,18,Black and White,Male,sheepdog shetland,27.0,23.75,0.0,0,medium,adult
Cavalier King Charles Spaniel,11,38,Gray,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,large,senior
Vizsla,12,53,Brindle,Male,vizsla,35.0,32.625,0.0,0,giant,senior
Doberman Pinscher,1,45,Bicolor,Male,doberman pinscher,18.0,15.625,0.0,0,giant,puppy
Bloodhound,8,38,Brown,Male,bloodhound,46.0,49.375,0.0,0,large,senior
Australian Shepherd,3,52,Black and White,Male,australian shepherd,12.0,16.0,0.0,0,giant,adult
German Shepherd,8,58,Black and White,Female,german shepherd,3.0,2.125,0.0,1,giant,senior
Australian Shepherd,6,48,Black,Male,australian shepherd,12.0,16.0,0.0,0,giant,adult
Belgian Malinois,14,50,Cream,Male,belgian malinoi,37.0,47.875,0.0,0,giant,senior
Pomeranian,5,24,Gray,Female,pomeranian,23.0,21.75,0.0,1,medium,adult
Samoyed,1,17,Black and Tan,Female,samoyed,56.0,61.5,0.0,1,medium,puppy
Doberman Pinscher,8,14,Gray,Male,doberman pinscher,18.0,15.625,0.0,0,medium,senior
Airedale Terrier,10,46,Brown,Female,airedale terrier,62.0,57.375,0.0,1,giant,senior
Dogo Argentino,9,21,Blue,Male,argentino dogo,93.0,93.0,0.875,0,medium,senior
Pomeranian,2,40,Black and Tan,Male,pomeranian,23.0,21.75,0.0,0,large,adult
Shih Tzu,4,10,Merle,Female,shih tzu,20.0,18.875,0.0,1,small,adult
Whippet,3,42,Cream,Male,whippet,59.0,58.875,0.0,0,large,adult
Jack Russell Terrier,13,38,Red,Male,jack russell terrier,,,,0,large,senior
Golden Retriever,3,40,Red,Female,golden retriever,4.0,3.125,0.0,1,large,adult
Pembroke Welsh Corgi,6,10,Cream,Female,corgi pembroke welsh,11.0,16.625,0.0,1,small,adult
Boxer,8,31,Cream,Female,boxer,14.0,10.625,0.0,1,large,senior
Whippet,2,34,Black and White,Male,whippet,59.0,58.875,0.0,0,large,adult
Basenji,6,54,Black and White,Female,basenji,86.0,86.375,0.0,1,giant,adult
Chinese Shar-Pei,4,37,Black,Male,chinese pei shar,61.0,60.875,0.0,0,large,adult
Jack Russell Terrier,10,51,Red,Male,jack russell terrier,,,,0,giant,senior
Bulldog,6,17,Tricolor,Female,bulldog,5.0,4.625,0.0,1,medium,adult
Dachshund,12,40,Brindle,Male,dachshund,10.0,11.625,0.0,0,large,senior
Rottweiler,7,48,Sable,Female,rottweiler,8.0,8.5,0.0,1,giant,adult
Beagle,14,50,Bicolor,Male,beagle,7.0,5.625,0.0,0,giant,senior
Airedale Terrier,4,9,Spotted,Female,airedale terrier,62.0,57.375,0.0,1,small,adult
Yorkshire Terrier,7,47,Blue,Female,terrier yorkshire,13.0,9.0,0.0,1,giant,adult
Yorkshire Terrier,8,10,Spotted,Male,terrier yorkshire,13.0,9.0,0.0,0,small,senior
Yorkshire Terrier,6,46,Sable,Female,terrier yorkshire,13.0,9.0,0.0,1,giant,adult
Airedale Terrier,13,30,Merle,Female,airedale terrier,62.0,57.375,0.0,1,large,senior
Vizsla,7,30,Black and White,Female,vizsla,35.0,32.625,0.0,1,large,adult
Miniature Schnauzer,13,59,Merle,Male,miniature schnauzer,19.0,17.5,0.0,0,giant,senior
Golden Retriever,11,58,Bicolor,Male,golden retriever,4.0,3.125,0.0,0,giant,senior
Poodle,13,8,Blue,Female,poodle,6.0,7.0,0.0,1,small,senior
Pekingese,10,49,Sable,Female,pekingese,95.0,86.375,0.0,1,giant,senior
Vizsla,10,32,Black,Male,vizsla,35.0,32.625,0.0,0,large,senior
Weimaraner,6,30,Blue,Male,weimaraner,39.0,35.5,0.0,0,large,adult
West Highland White Terrier,8,49,Red,Male,highland terrier west white,44.0,41.0,0.0,0,giant,senior
Pekingese,6,54,Spotted,Male,pekingese,95.0,86.375,0.0,0,giant,adult
Bichon Frise,4,46,Bicolor,Female,bichon frise,45.0,44.125,0.0,1,giant,adult
Doberman Pinscher,11,23,Black and Tan,Male,doberman pinscher,18.0,15.625,0.0,0,medium,senior
Pembroke Welsh Corgi,14,15,Gray,Male,corgi pembroke welsh,11.0,16.625,0.0,0,medium,senior
Rottweiler,11,31,Black and Tan,Male,rottweiler,8.0,8.5,0.0,0,large,senior
Yorkshire Terrier,11,25,Black and White,Male,terrier yorkshire,13.0,9.0,0.0,0,large,senior
Maltese,4,37,Black and Tan,Male,maltese,38.0,33.0,0.0,0,large,adult
French Bulldog,5,17,Black,Male,bulldog french,2.0,5.75,0.0,0,medium,adult
Lhasa Apso,1,22,Black,Female,apso lhasa,78.0,71.375,0.0,1,medium,puppy
Pembroke Welsh Corgi,2,34,Sable,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,adult
Whippet,4,14,Red,Male,whippet,59.0,58.875,0.0,0,medium,adult
Australian Shepherd,10,10,Brindle,Male,australian shepherd,12.0,16.0,0.0,0,small,senior
French Bulldog,13,7,Black,Male,bulldog french,2.0,5.75,0.0,0,small,senior
Weimaraner,13,6,Red,Female,weimaraner,39.0,35.5,0.0,1,small,senior
Bull Terrier,4,40,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,large,adult
Shetland Sheepdog,4,24,Brown,Male,sheepdog shetland,27.0,23.75,0.0,0,medium,adult
Pekingese,9,44,Sable,Male,pekingese,95.0,86.375,0.0,0,large,senior
Dogo Argentino,11,25,Brown,Male,argentino dogo,93.0,93.0,0.875,0,large,senior
French Bulldog,9,42,Black,Female,bulldog french,2.0,5.75,0.0,1,large,senior
Pembroke Welsh Corgi,4,59,Cream,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,adult
Australian Shepherd,9,16,Black and White,Male,australian shepherd,12.0,16.0,0.0,0,medium,senior
Samoyed,14,23,Sable,Male,samoyed,56.0,61.5,0.0,0,medium,senior
Border Collie,14,39,Tricolor,Male,border collie,,,,0,large,senior
Australian Shepherd,14,59,Cream,Male,australian shepherd,12.0,16.0,0.0,0,giant,senior
Chesapeake Bay Retriever,10,30,Red,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,senior
Pembroke Welsh Corgi,13,23,Brown,Female,corgi pembroke welsh,11.0,16.625,0.0,1,medium,senior
Poodle,5,47,Sable,Female,poodle,6.0,7.0,0.0,1,giant,adult
Cavalier King Charles Spaniel,1,48,White,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,giant,puppy
Bulldog,14,50,Merle,Female,bulldog,5.0,4.625,0.0,1,giant,senior
Shiba Inu,11,53,Brindle,Female,inu shiba,43.0,44.875,0.0,1,giant,senior
Vizsla,7,14,Gray,Female,vizsla,35.0,32.625,0.0,1,medium,adult
Alaskan Malamute,12,57,Black and Tan,Male,alaskan malamute,65.0,58.875,0.0,0,giant,senior
Samoyed,13,32,Tan,Female,samoyed,56.0,61.5,0.0,1,large,senior
Pekingese,9,28,Tricolor,Male,pekingese,95.0,86.375,0.0,0,large,senior
Bichon Frise,7,6,Sable,Female,bichon frise,45.0,44.125,0.0,1,small,adult
Bull Terrier,4,59,Bicolor,Female,bull terrier,64.0,58.125,0.0,1,giant,adult
Bichon Frise,13,24,Merle,Male,bichon frise,45.0,44.125,0.0,0,medium,senior
Pekingese,14,11,Sable,Male,pekingese,95.0,86.375,0.0,0,medium,senior
Yorkshire Terrier,9,33,Tricolor,Female,terrier yorkshire,13.0,9.0,0.0,1,large,senior
Pembroke Welsh Corgi,12,33,Red,Female,corgi pembroke welsh,11.0,16.625,0.0,1,large,senior
Chesapeake Bay Retriever,3,34,Black and White,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,adult
Chihuahua,9,36,Brindle,Male,chihuahua,34.0,29.75,0.0,0,large,senior
Bloodhound,9,21,Brindle,Male,bloodhound,46.0,49.375,0.0,0,medium,senior
Pembroke Welsh Corgi,9,54,Gray,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,senior
Dachshund,13,42,Gray,Female,dachshund,10.0,11.625,0.0,1,large,senior
Bernese Mountain Dog,3,52,Tan,Male,bernese mountain,22.0,26.5,0.0,0,giant,adult
Shiba Inu,6,44,Merle,Female,inu shiba,43.0,44.875,0.0,1,large,adult
Whippet,11,41,Brindle,Male,whippet,59.0,58.875,0.0,0,large,senior
Basenji,7,48,Brindle,Female,basenji,86.0,86.375,0.0,1,giant,adult
Beagle,6,36,Spotted,Female,beagle,7.0,5.625,0.0,1,large,adult
Cavalier King Charles Spaniel,9,6,Merle,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,small,senior
Pomeranian,6,29,Tricolor,Female,pomeranian,23.0,21.75,0.0,1,large,adult
Pembroke Welsh Corgi,9,39,Tan,Female,corgi pembroke welsh,11.0,16.625,0.0,1,large,senior
Saint Bernard,3,41,Tan,Male,bernard saint,,,,0,large,adult
Boston Terrier,12,47,Black and Tan,Male,boston terrier,21.0,21.625,0.0,0,giant,senior
Bulldog,1,16,Tan,Male,bulldog,5.0,4.625,0.0,0,medium,puppy
Bulldog,3,32,Cream,Male,bulldog,5.0,4.625,0.0,0,large,adult
Rottweiler,13,54,Merle,Female,rottweiler,8.0,8.5,0.0,1,giant,senior
Papillon,11,36,Brown,Female,papillon,53.0,49.375,0.0,1,large,senior
Pekingese,12,45,Spotted,Male,pekingese,95.0,86.375,0.0,0,giant,senior
Bichon Frise,1,5,Cream,Female,bichon frise,45.0,44.125,0.0,1,small,puppy
Jack Russell Terrier,14,8,Red,Male,jack russell terrier,,,,0,small,senior
Cocker Spaniel,3,7,Gray,Male,cocker spaniel,30.0,29.375,0.0,0,small,adult
Basenji,10,7,Cream,Male,basenji,86.0,86.375,0.0,0,small,senior
Border Collie,1,50,Gray,Male,border collie,,,,0,giant,puppy
Border Collie,9,22,Blue,Male,border collie,,,,0,medium,senior
Boxer,10,17,Black,Male,boxer,14.0,10.625,0.0,0,medium,senior
Whippet,1,57,Blue,Male,whippet,59.0,58.875,0.0,0,giant,puppy
Schnauzer,5,44,Black and White,Male,schnauzer,,,,0,large,adult
Cavalier King Charles Spaniel,5,46,Blue,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,giant,adult
Doberman Pinscher,4,28,Brown,Male,doberman pinscher,18.0,15.625,0.0,0,large,adult
Rottweiler,6,11,Cream,Female,rottweiler,8.0,8.5,0.0,1,medium,adult
Chinese Shar-Pei,12,27,Tan,Female,chinese pei shar,61.0,60.875,0.0,1,large,senior
Saint Bernard,3,56,Black and White,Male,bernard saint,,,,0,giant,adult
Boxer,11,19,Cream,Male,boxer,14.0,10.625,0.0,0,medium,senior
Great Dane,5,50,Black and Tan,Male,dane great,15.0,15.25,0.0,0,giant,adult
Jack Russell Terrier,1,5,Spotted,Female,jack russell terrier,,,,1,small,puppy
Lhasa Apso,14,25,Brown,Female,apso lhasa,78.0,71.375,0.0,1,large,senior
Rottweiler,6,41,Gray,Male,rottweiler,8.0,8.5,0.0,0,large,adult
Dogo Argentino,10,37,Brown,Male,argentino dogo,93.0,93.0,0.875,0,large,senior
French Bulldog,6,41,Black and Tan,Female,bulldog french,2.0,5.75,0.0,1,large,adult
Rottweiler,13,23,Brindle,Male,rottweiler,8.0,8.5,0.0,0,medium,senior
Yorkshire Terrier,12,55,Black,Male,terrier yorkshire,13.0,9.0,0.0,0,giant,senior
Vizsla,8,40,Brindle,Male,vizsla,35.0,32.625,0.0,0,large,senior
Poodle,12,30,Tricolor,Female,poodle,6.0,7.0,0.0,1,large,senior
Chesapeake Bay Retriever,12,35,Gray,Male,bay chesapeake retriever,50.0,44.125,0.0,0,large,senior
Great Dane,14,36,Blue,Female,dane great,15.0,15.25,0.0,1,large,senior
Irish Setter,8,20,Bicolor,Male,irish setter,75.0,74.625,0.0,0,medium,senior
Bloodhound,14,29,Bicolor,Female,bloodhound,46.0,49.375,0.0,1,large,senior
Rottweiler,2,27,Brindle,Female,rottweiler,8.0,8.5,0.0,1,large,adult
Yorkshire Terrier,12,7,Merle,Female,terrier yorkshire,13.0,9.0,0.0,1,small,senior
German Shepherd,12,28,Bicolor,Female,german shepherd,3.0,2.125,0.0,1,large,senior
Golden Retriever,3,38,White,Female,golden retriever,4.0,3.125,0.0,1,large,adult
Pug,9,58,Sable,Female,pug,29.0,31.0,0.0,1,giant,senior
Golden Retriever,14,47,Black and Tan,Male,golden retriever,4.0,3.125,0.0,0,giant,senior
Pembroke Welsh Corgi,8,57,Red,Female,corgi pembroke welsh,11.0,16.625,0.0,1,giant,senior
Schnauzer,9,13,Black,Male,schnauzer,,,,0,medium,senior
Dachshund,2,46,Black and White,Male,dachshund,10.0,11.625,0.0,0,giant,adult
Boston Terrier,4,52,Cream,Male,boston terrier,21.0,21.625,0.0,0,giant,adult
Weimaraner,3,50,Brown,Male,weimaraner,39.0,35.5,0.0,0,giant,adult
Chihuahua,9,20,Black and White,Male,chihuahua,34.0,29.75,0.0,0,medium,senior
Papillon,8,24,Sable,Female,papillon,53.0,49.375,0.0,1,medium,senior
Rottweiler,2,19,Brown,Female,rottweiler,8.0,8.5,0.0,1,medium,adult
Pekingese,11,43,Cream,Female,pekingese,95.0,86.375,0.0,1,large,senior
Poodle,12,42,Black and Tan,Female,poodle,6.0,7.0,0.0,1,large,senior
Chihuahua,10,40,Black,Male,chihuahua,34.0,29.75,0.0,0,large,senior
Whippet,14,16,Brown,Female,whippet,59.0,58.875,0.0,1,medium,senior
Irish Setter,7,43,Bicolor,Male,irish setter,75.0,74.625,0.0,0,large,adult
Australian Shepherd,11,33,Sable,Male,australian shepherd,12.0,16.0,0.0,0,large,senior
Chinese Shar-Pei,1,40,Black and White,Male,chinese pei shar,61.0,60.875,0.0,0,large,puppy
Shiba Inu,13,47,Brindle,Female,inu shiba,43.0,44.875,0.0,1,giant,senior
Havanese,9,36,Merle,Female,havanese,24.0,23.75,0.0,1,large,senior
Bichon Frise,5,50,Spotted,Male,bichon frise,45.0,44.125,0.0,0,giant,adult
Beagle,7,22,Sable,Male,beagle,7.0,5.625,0.0,0,medium,adult
Boxer,7,46,White,Female,boxer,14.0,10.625,0.0,1,giant,adult
German Shepherd,2,19,Black and White,Male,german shepherd,3.0,2.125,0.0,0,medium,adult
Pembroke Welsh Corgi,11,45,Blue,Male,corgi pembroke welsh,11.0,16.625,0.0,0,giant,senior
Havanese,11,55,Black,Female,havanese,24.0,23.75,0.0,1,giant,senior
Beagle,11,40,Sable,Female,beagle,7.0,5.625,0.0,1,large,senior
Basenji,4,42,Cream,Female,basenji,86.0,86.375,0.0,1,large,adult
Weimaraner,1,36,Merle,Female,weimaraner,39.0,35.5,0.0,1,large,puppy
Siberian Husky,13,39,Cream,Female,husky siberian,16.0,13.5,0.0,1,large,senior
Saint Bernard,12,51,Brindle,Female,bernard saint,,,,1,giant,senior
